Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2017,Skamania,WA,Passenger,9,7,16,8775,8791,0.18
May 31 2017,Skamania,WA,Truck,0,0,0,4070,4070,0.00
May 31 2017,Spokane,WA,Passenger,260,249,509,302224,302733,0.17
May 31 2017,Miami-Dade,FL,Passenger,0,1,1,132,133,0.75
May 31 2017,Saratoga,NY,Passenger,0,1,1,72,73,1.37
June 30 2017,Adams,WA,Truck,0,0,0,5354,5354,0.00
May 31 2017,Skagit,WA,Passenger,140,117,257,89695,89952,0.29
May 31 2017,Missoula,MT,Passenger,1,0,1,68,69,1.45
May 31 2017,Riverside,CA,Passenger,0,1,1,813,814,0.12
May 31 2017,Skagit,WA,Truck,1,0,1,32421,32422,0.00
May 31 2017,Snohomish,WA,Truck,1,0,1,125821,125822,0.00
June 30 2017,Asotin,WA,Truck,0,0,0,6728,6728,0.00
May 31 2017,Tulare,CA,Passenger,1,0,1,198,199,0.50
May 31 2017,Monterey,CA,Passenger,0,1,1,221,222,0.45
May 31 2017,Stevens,WA,Truck,0,0,0,19134,19134,0.00
May 31 2017,Wahkiakum,WA,Truck,0,0,0,1705,1705,0.00
May 31 2017,Santa Clara,CA,Passenger,5,2,7,403,410,1.71
May 31 2017,Montgomery,TN,Passenger,1,0,1,274,275,0.36
May 31 2017,Walla Walla,WA,Passenger,23,24,47,35668,35715,0.13
June 30 2017,Bexar,TX,Passenger,1,1,2,917,919,0.22
May 31 2017,Walla Walla,WA,Truck,0,0,0,13681,13681,0.00
May 31 2017,Moore,NC,Passenger,0,1,1,205,206,0.49
June 30 2017,Clark,WA,Truck,0,0,0,80061,80061,0.00
May 31 2017,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
May 31 2017,New Castle,DE,Passenger,1,0,1,24,25,4.00
May 31 2017,Norfolk City,VA,Passenger,2,1,3,327,330,0.91
May 31 2017,Virginia Beach City,VA,Passenger,1,1,2,653,655,0.31
May 31 2017,Whatcom,WA,Passenger,470,185,655,145255,145910,0.45
May 31 2017,Whatcom,WA,Truck,2,0,2,42727,42729,0.00
May 31 2017,Nueces,TX,Passenger,0,1,1,100,101,0.99
June 30 2017,Cowlitz,WA,Passenger,54,70,124,71141,71265,0.17
June 30 2017,Camden,GA,Passenger,0,1,1,186,187,0.53
May 31 2017,Whitman,WA,Truck,0,0,0,8666,8666,0.00
May 31 2017,Okanogan,WA,Truck,0,0,0,4522,4522,0.00
May 31 2017,Wayne,MI,Passenger,0,1,1,67,68,1.47
May 31 2017,Pinal,AZ,Passenger,2,1,3,220,223,1.35
June 30 2017,,CA,Passenger,1,0,1,402,403,0.25
May 31 2017,Volusia,FL,Passenger,0,1,1,45,46,2.17
June 30 2017,Chelan,WA,Passenger,67,37,104,53371,53475,0.19
June 30 2017,Columbia,WA,Passenger,1,1,2,2403,2405,0.08
June 30 2017,Allegheny,PA,Passenger,1,0,1,83,84,1.19
May 31 2017,Whitman,WA,Passenger,10,22,32,22434,22466,0.14
June 30 2017,Fairfax,VA,Passenger,1,3,4,860,864,0.46
June 30 2017,Cobb,GA,Passenger,0,1,1,69,70,1.43
June 30 2017,Grant,WA,Passenger,22,32,54,62681,62735,0.09
May 31 2017,Salt Lake,UT,Passenger,0,1,1,264,265,0.38
May 31 2017,San Juan,WA,Passenger,105,41,146,13878,14024,1.04
May 31 2017,San Mateo,CA,Passenger,0,1,1,154,155,0.65
June 30 2017,Ferry,WA,Passenger,2,1,3,4577,4580,0.07
June 30 2017,Dekalb,GA,Passenger,1,0,1,84,85,1.18
June 30 2017,Benton,WA,Truck,0,0,0,41428,41428,0.00
May 31 2017,San Diego,CA,Passenger,4,2,6,2786,2792,0.21
June 30 2017,Honolulu,HI,Passenger,4,1,5,586,591,0.85
June 30 2017,Douglas,WA,Truck,0,0,0,11911,11911,0.00
June 30 2017,Benton,WA,Passenger,155,149,304,131315,131619,0.23
May 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
June 30 2017,Island,WA,Passenger,125,147,272,61462,61734,0.44
June 30 2017,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
May 31 2017,Shelby,TN,Passenger,0,1,1,115,116,0.86
June 30 2017,Clackamas,OR,Passenger,0,1,1,290,291,0.34
June 30 2017,Franklin,WA,Truck,0,0,0,18771,18771,0.00
June 30 2017,Cascade,MT,Passenger,0,1,1,56,57,1.75
June 30 2017,King,WA,Passenger,10237,4440,14677,1396033,1410710,1.04
June 30 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
June 30 2017,Fulton,GA,Passenger,1,1,2,109,111,1.80
June 30 2017,Gallatin,MT,Passenger,0,1,1,62,63,1.59
June 30 2017,Cumberland,NC,Passenger,1,0,1,617,618,0.16
June 30 2017,Garfield,WA,Passenger,0,0,0,1334,1334,0.00
June 30 2017,Clark,WA,Passenger,825,536,1361,305324,306685,0.44
June 30 2017,Lincoln,WA,Truck,0,0,0,4612,4612,0.00
June 30 2017,Clallam,WA,Passenger,96,81,177,49392,49569,0.36
June 30 2017,Clallam,WA,Truck,0,0,0,21628,21628,0.00
May 31 2017,Utah,UT,Passenger,0,1,1,155,156,0.64
June 30 2017,District Of Columbia,DC,Passenger,0,3,3,219,222,1.35
June 30 2017,Jefferson,WA,Truck,0,0,0,9696,9696,0.00
June 30 2017,Juneau,AK,Passenger,0,1,1,42,43,2.33
June 30 2017,Duval,FL,Passenger,1,1,2,376,378,0.53
June 30 2017,Dakota,MN,Passenger,0,1,1,34,35,2.86
June 30 2017,Flathead,MT,Passenger,1,0,1,60,61,1.64
June 30 2017,Island,WA,Truck,0,0,0,21138,21138,0.00
June 30 2017,Alameda,CA,Passenger,1,1,2,358,360,0.56
May 31 2017,Yakima,WA,Passenger,46,63,109,163831,163940,0.07
June 30 2017,Knox,TN,Passenger,1,0,1,40,41,2.44
June 30 2017,Montgomery,TN,Passenger,1,0,1,272,273,0.37
June 30 2017,Arlington,VA,Passenger,1,1,2,166,168,1.19
June 30 2017,Ferry,WA,Truck,0,0,0,3755,3755,0.00
June 30 2017,Douglas,WA,Passenger,34,26,60,27364,27424,0.22
June 30 2017,Lane,OR,Passenger,0,1,1,238,239,0.42
June 30 2017,Norfolk City,VA,Passenger,2,1,3,337,340,0.88
June 30 2017,Garfield,WA,Truck,0,0,0,974,974,0.00
June 30 2017,Adams,WA,Passenger,3,3,6,12632,12638,0.05
June 30 2017,Northampton,PA,Passenger,1,0,1,151,152,0.66
June 30 2017,Fairfax City,VA,Passenger,1,0,1,6,7,14.29
June 30 2017,Anne Arundel,MD,Passenger,0,2,2,513,515,0.39
June 30 2017,Okanogan,WA,Truck,0,0,0,4511,4511,0.00
June 30 2017,Asotin,WA,Passenger,6,4,10,12709,12719,0.08
June 30 2017,Franklin,OH,Passenger,0,1,1,119,120,0.83
June 30 2017,Hamilton,IN,Passenger,1,0,1,54,55,1.82
June 30 2017,Harnett,NC,Passenger,1,0,1,268,269,0.37
June 30 2017,Glacier,MT,Passenger,0,1,1,3,4,25.00
June 30 2017,Latah,ID,Passenger,0,1,1,101,102,0.98
June 30 2017,Lumpkin,GA,Passenger,1,0,1,10,11,9.09
June 30 2017,Maricopa,AZ,Passenger,3,0,3,1637,1640,0.18
June 30 2017,Jefferson,WA,Passenger,108,65,173,24365,24538,0.71
June 30 2017,Canyon,ID,Passenger,0,1,1,91,92,1.09
June 30 2017,Los Angeles,CA,Passenger,2,1,3,1298,1301,0.23
June 30 2017,Howard,MD,Passenger,0,1,1,103,104,0.96
June 30 2017,Charlottesville City,VA,Passenger,0,1,1,11,12,8.33
June 30 2017,Clark,NV,Passenger,1,1,2,801,803,0.25
June 30 2017,Madison,ID,Passenger,1,0,1,38,39,2.56
June 30 2017,Chelan,WA,Truck,0,0,0,22026,22026,0.00
June 30 2017,Kent,DE,Passenger,0,1,1,73,74,1.35
June 30 2017,Jefferson,NY,Passenger,1,1,2,265,267,0.75
June 30 2017,Kitsap,WA,Passenger,649,334,983,176994,177977,0.55
June 30 2017,Marin,CA,Passenger,1,0,1,56,57,1.75
June 30 2017,Kitsap,WA,Truck,1,0,1,54080,54081,0.00
June 30 2017,Kent,MI,Passenger,0,1,1,37,38,2.63
June 30 2017,San Diego,CA,Passenger,4,2,6,2772,2778,0.22
June 30 2017,Kittitas,WA,Truck,0,0,0,14077,14077,0.00
June 30 2017,Klickitat,WA,Passenger,27,26,53,15200,15253,0.35
June 30 2017,Mason,WA,Passenger,64,69,133,44515,44648,0.30
June 30 2017,Columbia,WA,Truck,0,0,0,1599,1599,0.00
June 30 2017,Montgomery,MD,Passenger,1,2,3,310,313,0.96
June 30 2017,Kittitas,WA,Passenger,24,17,41,28354,28395,0.14
June 30 2017,Cowlitz,WA,Truck,0,0,0,28839,28839,0.00
June 30 2017,Miami-Dade,FL,Passenger,0,1,1,131,132,0.76
June 30 2017,Skamania,WA,Truck,0,0,0,4095,4095,0.00
June 30 2017,Lincoln,WA,Passenger,2,6,8,7767,7775,0.10
June 30 2017,Dale,AL,Passenger,0,1,1,68,69,1.45
June 30 2017,Dane,WI,Passenger,1,0,1,98,99,1.01
June 30 2017,Missoula,MT,Passenger,1,0,1,67,68,1.47
June 30 2017,Dallas,TX,Passenger,0,1,1,182,183,0.55
June 30 2017,Spokane,WA,Passenger,272,248,520,303044,303564,0.17
June 30 2017,Dekalb,IN,Passenger,1,0,1,1,2,50.00
June 30 2017,Deschutes,OR,Passenger,1,0,1,189,190,0.53
June 30 2017,Pacific,WA,Passenger,16,8,24,15447,15471,0.16
June 30 2017,Marion,OR,Passenger,1,0,1,150,151,0.66
June 30 2017,Maui,HI,Passenger,1,0,1,72,73,1.37
June 30 2017,Mason,WA,Truck,0,0,0,19993,19993,0.00
June 30 2017,Monterey,CA,Passenger,0,1,1,216,217,0.46
June 30 2017,Moore,NC,Passenger,0,1,1,201,202,0.50
June 30 2017,Tulare,CA,Passenger,1,0,1,202,203,0.49
June 30 2017,El Paso,CO,Passenger,1,1,2,818,820,0.24
June 30 2017,Wahkiakum,WA,Truck,0,0,0,1708,1708,0.00
June 30 2017,Nueces,TX,Passenger,0,1,1,99,100,1.00
June 30 2017,Okanogan,,Passenger,4,12,16,19966,19982,0.08
June 30 2017,Nassau,NY,Passenger,0,1,1,38,39,2.56
June 30 2017,Pacific,WA,Truck,0,0,0,7707,7707,0.00
June 30 2017,Franklin,WA,Passenger,28,46,74,56972,57046,0.13
June 30 2017,Palm Beach,FL,Passenger,0,1,1,87,88,1.14
June 30 2017,Grant,WA,Truck,0,0,0,26340,26340,0.00
June 30 2017,Whatcom,WA,Truck,2,0,2,42850,42852,0.00
June 30 2017,Grays Harbor,WA,Passenger,38,35,73,45831,45904,0.16
June 30 2017,Orange,CA,Passenger,3,1,4,661,665,0.60
June 30 2017,Grays Harbor,WA,Truck,0,0,0,20545,20545,0.00
June 30 2017,Pima,AZ,Passenger,0,2,2,424,426,0.47
June 30 2017,Orleans,LA,Passenger,0,1,1,46,47,2.13
June 30 2017,Salt Lake,UT,Passenger,0,1,1,258,259,0.39
April 30 2020,Flathead,MT,Passenger,1,0,1,52,53,1.89
April 30 2020,Manassas City,VA,Passenger,0,1,1,4,5,20.00
May 31 2020,Douglas,WA,Passenger,70,41,111,28578,28689,0.39
May 31 2020,Denver,CO,Passenger,1,0,1,105,106,0.94
May 31 2020,Deschutes,OR,Passenger,2,0,2,116,118,1.69
April 30 2020,Garfield,WA,Truck,0,0,0,994,994,0.00
April 30 2020,Chelan,WA,Truck,0,0,0,23097,23097,0.00
April 30 2020,Pend Oreille,WA,Passenger,8,6,14,9593,9607,0.15
June 30 2020,Los Angeles,CA,Passenger,9,9,18,944,962,1.87
April 30 2020,Goochland,VA,Passenger,2,1,3,193,196,1.53
April 30 2020,Clark,WA,Truck,0,0,0,83955,83955,0.00
June 30 2020,Mason,WA,Passenger,191,143,334,48385,48719,0.69
May 31 2020,Monterey,CA,Passenger,1,0,1,183,184,0.54
April 30 2020,Multnomah,OR,Passenger,4,7,11,681,692,1.59
May 31 2020,Harris,TX,Passenger,1,0,1,208,209,0.48
May 31 2020,Fresno,CA,Passenger,1,0,1,175,176,0.57
April 30 2020,Howard,MD,Passenger,0,1,1,83,84,1.19
April 30 2020,Sacramento,CA,Passenger,1,0,1,254,255,0.39
May 31 2020,Howard,MD,Passenger,0,1,1,83,84,1.19
April 30 2020,Okanogan,WA,Passenger,4,8,12,6013,6025,0.20
June 30 2020,Montgomery,AL,Passenger,0,1,1,37,38,2.63
April 30 2020,Oldham,KY,Passenger,0,1,1,3,4,25.00
May 31 2020,Island,WA,Passenger,431,290,721,64054,64775,1.11
May 31 2020,Garfield,WA,Truck,0,0,0,994,994,0.00
April 30 2020,Cowlitz,WA,Passenger,146,130,276,74147,74423,0.37
June 30 2020,Multnomah,OR,Passenger,4,7,11,663,674,1.63
April 30 2020,Cowlitz,WA,Truck,0,0,0,29634,29634,0.00
May 31 2020,Goochland,VA,Passenger,2,1,3,191,194,1.55
May 31 2020,Oklahoma,OK,Passenger,0,1,1,113,114,0.88
May 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
May 31 2020,Otero,NM,Passenger,0,1,1,37,38,2.63
April 30 2020,Denver,CO,Passenger,1,0,1,108,109,0.92
May 31 2020,Ozaukee,WI,Passenger,0,1,1,3,4,25.00
April 30 2020,Snohomish,WA,Passenger,4599,1868,6467,545081,551548,1.17
June 30 2020,Okanogan,,Passenger,33,26,59,20614,20673,0.29
May 31 2020,Kittitas,WA,Passenger,108,50,158,30527,30685,0.51
April 30 2020,Spartanburg,SC,Passenger,0,1,1,37,38,2.63
April 30 2020,Pierce,WA,Passenger,2589,1807,4396,559574,563970,0.78
April 30 2020,Kitsap,WA,Passenger,1403,712,2115,183956,186071,1.14
April 30 2020,El Paso,TX,Passenger,2,0,2,437,439,0.46
April 30 2020,Pierce,WA,Truck,0,0,0,145145,145145,0.00
April 30 2020,Stafford,VA,Passenger,1,0,1,85,86,1.16
June 30 2020,Osceola,FL,Passenger,1,0,1,33,34,2.94
April 30 2020,Pinellas,FL,Passenger,1,1,2,87,89,2.25
April 30 2020,Stevens,WA,Passenger,36,35,71,31825,31896,0.22
May 31 2020,Jefferson,WA,Passenger,245,156,401,25322,25723,1.56
April 30 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
May 31 2020,Lincoln,WA,Truck,0,0,0,4755,4755,0.00
May 31 2020,Pacific,WA,Truck,0,0,0,7837,7837,0.00
April 30 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
April 30 2020,Franklin,WA,Passenger,65,82,147,62065,62212,0.24
May 31 2020,Kern,CA,Passenger,1,1,2,226,228,0.88
May 31 2020,Palm Beach,FL,Passenger,0,1,1,65,66,1.52
May 31 2020,Pend Oreille,WA,Passenger,7,6,13,9551,9564,0.14
April 30 2020,Travis,TX,Passenger,1,2,3,159,162,1.85
April 30 2020,Fulton,GA,Passenger,1,2,3,98,101,2.97
April 30 2020,Riverside,CA,Passenger,3,1,4,591,595,0.67
April 30 2020,Tuolumne,CA,Passenger,0,1,1,8,9,11.11
April 30 2020,Lincoln,WA,Passenger,6,12,18,7889,7907,0.23
May 31 2020,Kitsap,WA,Passenger,1407,713,2120,183149,185269,1.14
June 30 2020,Ramsey,MN,Passenger,1,0,1,34,35,2.86
May 31 2020,Pinal,AZ,Passenger,1,0,1,150,151,0.66
April 30 2020,Grant,WA,Passenger,62,76,138,66989,67127,0.21
June 30 2020,Riverside,CA,Passenger,3,1,4,577,581,0.69
April 30 2020,Wahkiakum,WA,Passenger,6,6,12,3045,3057,0.39
April 30 2020,Grant,WA,Truck,0,0,0,27936,27936,0.00
April 30 2020,Grays Harbor,WA,Passenger,120,114,234,48950,49184,0.48
April 30 2020,San Juan,WA,Truck,0,0,0,6074,6074,0.00
May 31 2020,Lincoln,WA,Passenger,6,12,18,7854,7872,0.23
May 31 2020,Multnomah,OR,Passenger,4,7,11,676,687,1.60
April 30 2020,Mason,OR,Passenger,1,0,1,19,20,5.00
June 30 2020,San Bernardino,CA,Passenger,0,1,1,427,428,0.23
April 30 2020,Yakima,WA,Truck,0,0,0,61834,61834,0.00
April 30 2020,Mason,WA,Truck,0,0,0,21168,21168,0.00
April 30 2020,Solano,CA,Passenger,1,0,1,212,213,0.47
May 31 2020,Nassau,NY,Passenger,2,0,2,29,31,6.45
May 31 2020,Manassas City,VA,Passenger,0,1,1,4,5,20.00
June 30 2020,Santa Cruz,CA,Passenger,1,0,1,30,31,3.23
May 31 2020,Okanogan,WA,Truck,0,0,0,4051,4051,0.00
April 30 2020,Monroe,IL,Passenger,1,0,1,3,4,25.00
May 31 2020,Saint Louis City,MO,Passenger,1,0,1,25,26,3.85
May 31 2020,Mecklenburg,NC,Passenger,1,0,1,68,69,1.45
June 30 2020,Skagit,WA,Truck,1,0,1,33396,33397,0.00
May 31 2020,Pend Oreille,WA,Truck,0,0,0,5967,5967,0.00
April 30 2020,Kent,MI,Passenger,0,1,1,20,21,4.76
June 30 2020,Stafford,VA,Passenger,1,0,1,86,87,1.15
May 31 2020,Skamania,WA,Passenger,34,18,52,8752,8804,0.59
May 31 2020,Pierce,WA,Truck,0,0,0,145211,145211,0.00
April 30 2020,Kern,CA,Passenger,1,1,2,225,227,0.88
April 30 2020,King,WA,Passenger,24692,8047,32739,1407665,1440404,2.27
April 30 2020,Orange,CA,Passenger,5,1,6,494,500,1.20
May 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
April 30 2020,King,WA,Truck,6,1,7,186205,186212,0.00
May 31 2020,Okanogan,WA,Passenger,4,8,12,6006,6018,0.20
April 30 2020,Klickitat,WA,Truck,0,0,0,8470,8470,0.00
April 30 2020,Osceola,FL,Passenger,1,0,1,35,36,2.78
April 30 2020,Westchester,NY,Passenger,0,1,1,24,25,4.00
May 31 2020,Boulder,CO,Passenger,1,1,2,36,38,5.26
May 31 2020,Travis,TX,Passenger,1,2,3,156,159,1.89
April 30 2020,Larimer,CO,Passenger,0,1,1,42,43,2.33
May 31 2020,Riverside,CA,Passenger,3,1,4,585,589,0.68
May 31 2020,Wahkiakum,WA,Passenger,6,7,13,3038,3051,0.43
April 30 2020,Lewis,WA,Passenger,109,115,224,59920,60144,0.37
June 30 2020,Washoe,NV,Passenger,1,0,1,78,79,1.27
May 31 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
May 31 2020,Sacramento,CA,Passenger,1,0,1,253,254,0.39
June 30 2020,Westchester,NY,Passenger,0,1,1,22,23,4.35
May 31 2020,Asotin,WA,Truck,0,0,0,6796,6796,0.00
May 31 2020,Saint Marys,MD,Passenger,1,0,1,192,193,0.52
June 30 2020,Williams,ND,Passenger,0,1,1,12,13,7.69
May 31 2020,Columbia,WA,Passenger,4,3,7,2477,2484,0.28
May 31 2020,San Juan,WA,Truck,0,0,0,6044,6044,0.00
May 31 2020,Columbia,WA,Truck,0,0,0,1585,1585,0.00
April 30 2020,Riley,KS,Passenger,1,0,1,62,63,1.59
May 31 2020,Santa Clara,CA,Passenger,3,2,5,271,276,1.81
May 31 2020,Riley,KS,Passenger,1,0,1,60,61,1.64
May 31 2020,Whatcom,WA,Passenger,1127,518,1645,152352,153997,1.07
May 31 2020,Broward,FL,Passenger,1,1,2,104,106,1.89
July 31 2020,Allegheny,PA,Passenger,1,0,1,60,61,1.64
April 30 2020,Santa Barbara,CA,Passenger,1,0,1,91,92,1.09
May 31 2020,Caddo,LA,Passenger,1,0,1,13,14,7.14
May 31 2020,Shelby,TN,Passenger,0,1,1,83,84,1.19
May 31 2020,Douglas,NE,Passenger,0,1,1,48,49,2.04
May 31 2020,Yakima,WA,Truck,0,0,0,61826,61826,0.00
May 31 2020,Douglas,OR,Passenger,1,0,1,38,39,2.56
April 30 2020,Montgomery,PA,Passenger,1,0,1,23,24,4.17
April 30 2020,Sedgwick,KS,Passenger,1,0,1,89,90,1.11
May 31 2020,Cascade,MT,Passenger,0,1,1,55,56,1.79
July 31 2020,Asotin,WA,Truck,0,0,0,6850,6850,0.00
April 30 2020,Shasta,CA,Passenger,1,0,1,37,38,2.63
May 31 2020,San Juan,WA,Passenger,302,95,397,14443,14840,2.68
May 31 2020,Chaves,NM,Passenger,1,0,1,9,10,10.00
May 31 2020,Shelby,OH,Passenger,0,1,1,1,2,50.00
April 30 2020,Suffolk City,VA,Passenger,1,0,1,120,121,0.83
April 30 2020,Oklahoma,OK,Passenger,0,2,2,115,117,1.71
July 31 2020,Boone,MO,Passenger,0,1,1,7,8,12.50
May 31 2020,Snohomish,WA,Truck,0,0,0,126908,126908,0.00
May 31 2020,Solano,CA,Passenger,1,0,1,207,208,0.48
May 31 2020,Tulsa,OK,Passenger,0,1,1,40,41,2.44
May 31 2020,Cumberland,NC,Passenger,0,3,3,478,481,0.62
May 31 2020,Guadalupe,TX,Passenger,2,0,2,50,52,3.85
July 31 2020,Caddo,LA,Passenger,1,0,1,12,13,7.69
May 31 2020,Stevens,WA,Truck,0,0,0,19255,19255,0.00
May 31 2020,Hamilton,IN,Passenger,1,0,1,31,32,3.12
May 31 2020,Walla Walla,WA,Passenger,72,63,135,36690,36825,0.37
June 30 2020,Carson City,NV,Passenger,1,0,1,8,9,11.11
May 31 2020,Denton,TX,Passenger,1,0,1,64,65,1.54
May 31 2020,Washtenaw,MI,Passenger,1,0,1,22,23,4.35
April 30 2020,Prince William,VA,Passenger,2,3,5,224,229,2.18
May 31 2020,Duval,FL,Passenger,0,1,1,336,337,0.30
July 31 2020,Cascade,MT,Passenger,0,1,1,53,54,1.85
May 31 2020,Thurston,WA,Truck,0,0,0,56716,56716,0.00
May 31 2020,Tipton,TN,Passenger,1,0,1,11,12,8.33
July 31 2020,Chaves,NM,Passenger,1,0,1,9,10,10.00
April 30 2020,Saint Clair,IL,Passenger,1,0,1,138,139,0.72
June 30 2020,Clark,WA,Truck,0,0,0,84276,84276,0.00
May 31 2020,Williamson,TX,Passenger,1,0,1,105,106,0.94
April 30 2020,Williams,ND,Passenger,0,1,1,14,15,6.67
May 31 2020,Ferry,WA,Passenger,5,3,8,4502,4510,0.18
May 31 2020,Ferry,WA,Truck,0,0,0,3687,3687,0.00
June 30 2020,Cowlitz,WA,Passenger,148,129,277,73793,74070,0.37
May 31 2020,Franklin,WA,Truck,0,0,0,20494,20494,0.00
May 31 2020,Kent,MI,Passenger,0,1,1,21,22,4.55
May 31 2020,Whitman,WA,Truck,0,0,0,8768,8768,0.00
June 30 2020,Asotin,WA,Truck,0,0,0,6843,6843,0.00
June 30 2020,Cumberland,NC,Passenger,0,3,3,471,474,0.63
July 31 2020,Davidson,TN,Passenger,1,0,1,54,55,1.82
April 30 2020,Spokane,WA,Truck,1,0,1,100338,100339,0.00
May 31 2020,King,WA,Passenger,24641,8040,32681,1397202,1429883,2.29
July 31 2020,Dekalb,GA,Passenger,1,0,1,67,68,1.47
May 31 2020,Garfield,WA,Passenger,0,1,1,1367,1368,0.07
May 31 2020,Arapahoe,CO,Passenger,1,0,1,121,122,0.82
July 31 2020,Denton,TX,Passenger,1,0,1,62,63,1.59
June 30 2020,Bay,FL,Passenger,1,0,1,34,35,2.86
May 31 2020,Klickitat,WA,Passenger,57,41,98,15676,15774,0.62
June 30 2020,Bexar,TX,Passenger,3,5,8,547,555,1.44
May 31 2020,Bay,FL,Passenger,1,0,1,34,35,2.86
June 30 2020,Alexandria City,VA,Passenger,4,0,4,134,138,2.90
May 31 2020,Harrison,MS,Passenger,1,0,1,60,61,1.64
April 30 2020,Thurston,WA,Passenger,1235,786,2021,200956,202977,1.00
May 31 2020,Bexar,TX,Passenger,2,5,7,555,562,1.25
June 30 2020,Broward,FL,Passenger,1,1,2,100,102,1.96
June 30 2020,Dupage,IL,Passenger,2,0,2,48,50,4.00
May 31 2020,Boone,MO,Passenger,0,1,1,7,8,12.50
May 31 2020,Lewis,WA,Passenger,109,117,226,59514,59740,0.38
June 30 2020,Caddo,LA,Passenger,1,0,1,12,13,7.69
April 30 2020,Ventura,CA,Passenger,0,2,2,292,294,0.68
July 31 2020,Franklin,WA,Truck,0,0,0,20687,20687,0.00
July 31 2020,Fresno,CA,Passenger,1,0,1,167,168,0.60
June 30 2020,Glacier,MT,Passenger,0,1,1,4,5,20.00
June 30 2020,Chaves,NM,Passenger,1,0,1,9,10,10.00
June 30 2020,Boulder,CO,Passenger,1,1,2,33,35,5.71
June 30 2020,Chelan,WA,Passenger,234,82,316,55382,55698,0.57
June 30 2020,Brevard,FL,Passenger,0,1,1,70,71,1.41
June 30 2020,Grant,WA,Passenger,62,76,138,66909,67047,0.21
June 30 2020,Grays Harbor,WA,Passenger,121,115,236,48999,49235,0.48
May 31 2020,Chelan,WA,Passenger,230,82,312,55315,55627,0.56
June 30 2020,Clay,FL,Passenger,0,1,1,81,82,1.22
May 31 2020,Adams,WA,Truck,0,0,0,5421,5421,0.00
May 31 2020,Albemarle,VA,Passenger,1,0,1,25,26,3.85
June 30 2020,Guilford,NC,Passenger,1,0,1,27,28,3.57
May 31 2020,Alexandria City,VA,Passenger,4,0,4,134,138,2.90
June 30 2020,Chelan,WA,Truck,0,0,0,23142,23142,0.00
May 31 2020,Clark,WA,Truck,0,0,0,84003,84003,0.00
May 31 2020,Montgomery,OH,Passenger,0,1,1,58,59,1.69
May 31 2020,Clay,FL,Passenger,0,1,1,80,81,1.23
June 30 2020,Clackamas,OR,Passenger,1,0,1,166,167,0.60
May 31 2020,Bartow,GA,Passenger,0,1,1,3,4,25.00
May 31 2020,Benton,WA,Passenger,366,330,696,137068,137764,0.51
May 31 2020,Cowlitz,WA,Passenger,146,130,276,73818,74094,0.37
July 31 2020,Jefferson,WA,Passenger,263,157,420,25244,25664,1.64
June 30 2020,Hennepin,MN,Passenger,2,0,2,74,76,2.63
May 31 2020,Okanogan,,Passenger,31,25,56,20623,20679,0.27
June 30 2020,Columbia,WA,Passenger,4,3,7,2486,2493,0.28
June 30 2020,Denton,TX,Passenger,1,0,1,62,63,1.59
May 31 2020,Oldham,KY,Passenger,0,1,1,3,4,25.00
July 31 2020,Kent,DE,Passenger,0,1,1,65,66,1.52
May 31 2020,Dekalb,GA,Passenger,1,0,1,69,70,1.43
June 30 2020,Douglas,WA,Truck,0,0,0,12636,12636,0.00
June 30 2020,Duval,FL,Passenger,0,1,1,337,338,0.30
June 30 2020,Denver,CO,Passenger,1,0,1,101,102,0.98
June 30 2020,Deschutes,OR,Passenger,2,0,2,115,117,1.71
July 31 2020,Kootenai,ID,Passenger,1,0,1,184,185,0.54
May 31 2020,Maricopa,AZ,Passenger,5,5,10,1173,1183,0.85
May 31 2020,Douglas,WA,Truck,0,0,0,12620,12620,0.00
May 31 2020,Pacific,WA,Passenger,40,36,76,16001,16077,0.47
June 30 2020,Jefferson,WA,Truck,0,0,0,9771,9771,0.00
May 31 2020,Dupage,IL,Passenger,2,0,2,48,50,4.00
June 30 2020,Ferry,WA,Truck,0,0,0,3699,3699,0.00
June 30 2020,Juneau,AK,Passenger,0,2,2,23,25,8.00
June 30 2020,Douglas,OR,Passenger,1,0,1,40,41,2.44
May 31 2020,Erie,NY,Passenger,1,0,1,38,39,2.56
May 31 2020,Pierce,WA,Passenger,2592,1806,4398,558408,562806,0.78
June 30 2020,Klickitat,WA,Truck,0,0,0,8380,8380,0.00
June 30 2020,Franklin,WA,Truck,0,0,0,20585,20585,0.00
June 30 2020,Fulton,GA,Passenger,1,2,3,94,97,3.09
