YEAR,MAKE,MODEL,Hybrid/Non-Hybrid,STANDARD TYPE,EPA RATING (CITY),Vehicle Count,TOTAL ACTUAL MILES,TOTAL ACTUAL FUEL,EPA EXPECTED FUEL,ACTUAL FUEL ECONOMY Geotab,PERCENT % DIFFERENCE ACTUAL TO EPA,ESTIMATED FUEL COSTS PER GALLON,FUEL COSTS PER MILE
2008,HONDA,CIVIC GX,Non-Hybrid,SEDAN,24,9,4459,221,185.79,20.18,-0.16,552.5,0.12
2008,FORD,CROWN VIC,Non-Hybrid,SEDAN,11,7,17162,1771,1560.18,9.69,-0.12,"4,427.50",0.26
2008,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,1,413,65,31.77,6.35,-0.51,162.5,0.39
2008,FORD,FOCUS,Non-Hybrid,SEDAN,24,49,13074,793,544.75,16.49,-0.31,"1,982.50",0.15
2008,FORD,FUSION,Non-Hybrid,SEDAN,18,5,29482,1813,1637.89,16.26,-0.1,"4,532.50",0.15
2008,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,27,15,36095,1667,1336.85,21.65,-0.2,"4,167.50",0.12
2008,TOYOTA,PRIUS,Hybrid,SEDAN,48,189,1034445,25453,21550.94,40.64,-0.15,"63,632.50",0.06
2008,FORD,RANGER,Non-Hybrid,PICKUP,15,14,8820,845,588,10.44,-0.3,"2,112.50",0.24
2009,NISSAN,ALTIMA HYBRID,Hybrid,SEDAN,35,11,73015,2790,2086.14,26.17,-0.25,"6,975.00",0.1
2009,FORD,CROWN VIC,Non-Hybrid,SEDAN,16,39,3263,290,203.94,11.25,-0.3,725,0.22
2009,FORD,ESCAPE,Non-Hybrid,SUV,19,14,3903,430,205.42,9.08,-0.52,"1,075.00",0.28
2009,FORD,ESCAPE HYBRID,Hybrid,SUV,34,32,180992,8729,5323.29,20.73,-0.39,"21,822.50",0.12
2009,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,27,11,3247,177,120.26,18.34,-0.32,442.5,0.14
2009,TOYOTA,PRIUS,Hybrid,SEDAN,48,86,341538,8249,7115.38,41.4,-0.14,"20,622.50",0.06
2010,NISSAN,ALTIMA HYBRID,Hybrid,SEDAN,35,22,57654,2247,1647.26,25.66,-0.27,"5,617.50",0.1
2010,FORD,ESCAPE HYBRID,Hybrid,SUV,34,31,133410,4558,3923.82,29.27,-0.14,"11,395.00",0.09
2010,FORD,FUSION HYBRID,Hybrid,SEDAN,39,9,41843,1096,1072.9,38.18,-0.02,"2,740.00",0.07
2010,DODGE,GRAND CARAVAN,Non-Hybrid,VAN,17,14,17717,926,1042.18,19.13,0.13,"2,315.00",0.13
2010,TOYOTA,PRIUS,Hybrid,SEDAN,51,84,266257,5760,5220.73,46.23,-0.09,"14,400.00",0.05
2011,FORD,E350,Non-Hybrid,VAN,10,10,51506,5681,5150.6,9.07,-0.09,"14,202.50",0.28
2011,FORD,ESCAPE,Non-Hybrid,SUV,20,14,9794,849,489.7,11.54,-0.42,"2,122.50",0.22
2011,FORD,ESCAPE HYBRID,Hybrid,SUV,34,9,49153,1471,1445.68,33.41,-0.02,"3,677.50",0.07
2011,FORD,F150,Non-Hybrid,PICKUP,15,6,32173,2075,2144.87,15.51,0.03,"5,187.50",0.16
2011,FORD,F250,Non-Hybrid,PICKUP,16,5,85447,10568,5340.44,8.09,-0.49,"26,420.00",0.31
2011,FORD,FUSION HYBRID,Hybrid,SEDAN,41,17,56641,1366,1381.49,41.46,0.01,"3,415.00",0.06
2011,DODGE,GRAND CARAVAN,Non-Hybrid,VAN,17,5,13954,737,820.82,18.93,0.11,"1,842.50",0.13
2011,TOYOTA,PRIUS,Hybrid,SEDAN,49,86,374960,7968,7652.24,47.06,-0.04,"19,920.00",0.05
2011,CHEVROLET,SILVERADO HYBRID,Hybrid,PICKUP,20,9,59006,4125,2950.3,14.3,-0.28,"10,312.50",0.17
2012,FORD,E150,Non-Hybrid,VAN,12,7,16895,1731,1407.92,9.76,-0.19,"4,327.50",0.26
2012,FORD,E250,Non-Hybrid,VAN,13,9,56570,5082,4351.54,11.13,-0.14,"12,705.00",0.22
2012,FORD,E350,Non-Hybrid,VAN,12,13,159292,18996,13274.33,8.39,-0.3,"47,490.00",0.3
2012,FORD,ESCAPE,Non-Hybrid,SUV,23,11,32831,2110,1427.43,15.56,-0.32,"5,275.00",0.16
2012,FORD,ESCAPE HYBRID,Hybrid,SUV,34,57,256827,9585,7553.74,26.79,-0.21,"23,962.50",0.09
2012,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,22,57821,5312,4447.77,10.88,-0.16,"13,280.00",0.23
2012,FORD,F150,Non-Hybrid,PICKUP,16,8,74811,6004,4675.69,12.46,-0.22,"15,010.00",0.2
2012,FORD,FUSION,Non-Hybrid,SEDAN,14,20,112376,5292,8026.86,21.24,0.52,"13,230.00",0.12
2012,FORD,FUSION HYBRID,Hybrid,SEDAN,41,85,327501,9344,7987.83,35.05,-0.15,"23,360.00",0.07
2012,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,28,21,150745,5419,5383.75,27.82,-0.01,"13,547.50",0.09
2012,TOYOTA,PRIUS,Hybrid,SEDAN,49,15,55592,1184,1134.53,46.95,-0.04,"2,960.00",0.05
2013,TOYOTA,CAMRY HYBRID,Hybrid,SEDAN,25,18,61608,1965,2464.32,31.35,0.25,"4,912.50",0.08
2013,FORD,E150,Non-Hybrid,VAN,10,10,45382,4472,4538.2,10.15,0.01,"11,180.00",0.25
2013,FORD,ESCAPE,Non-Hybrid,SUV,21,11,382675,25245,18222.62,15.16,-0.28,"63,112.50",0.16
2013,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,31,45512,4971,3500.92,9.16,-0.3,"12,427.50",0.27
2013,FORD,FUSION HYBRID,Hybrid,SEDAN,22,159,646510,25879,29386.82,24.98,0.14,"64,697.50",0.1
2013,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,28,24,134277,4976,4795.61,26.98,-0.04,"12,440.00",0.09
2013,CHEVROLET,IMPALA,Non-Hybrid,SEDAN,18,9,25242,1913,1402.33,13.19,-0.27,"4,782.50",0.19
2013,TOYOTA,PRIUS,Hybrid,SEDAN,49,102,603837,12483,12323.2,48.37,-0.01,"31,207.50",0.05
2013,CHEVROLET,TAHOE HYBRID,Hybrid,SUV,20,9,38835,2111,1941.75,18.4,-0.08,"5,277.50",0.14
2013,FORD,TRANSIT CONNECT,Non-Hybrid,VAN,22,21,83488,7506,3794.91,11.12,-0.49,"18,765.00",0.22
2014,TOYOTA,CAMRY HYBRID,Hybrid,SEDAN,40,26,119242,3887,2981.05,30.68,-0.23,"9,717.50",0.08
2014,FORD,ESCAPE,Non-Hybrid,SUV,23,67,286752,20147,12467.48,14.23,-0.38,"50,367.50",0.18
2014,FORD,EXPEDITION,Non-Hybrid,SUV,13,11,46678,4372,3590.62,10.68,-0.18,"10,930.00",0.23
2014,FORD,EXPLORER,Non-Hybrid,SUV,16,14,114814,5919,7175.88,19.4,0.21,"14,797.50",0.13
2014,CHEVROLET,EXPRESS,Non-Hybrid,VAN,9,68,161442,17388,17938,9.28,0.03,"43,470.00",0.27
2014,FORD,F150,Non-Hybrid,PICKUP,15,21,148806,10847.5,9920.4,13.72,-0.09,"27,118.75",0.18
2014,CHEVROLET,IMPALA,Non-Hybrid,SEDAN,18,7,41059,2403,2281.06,17.09,-0.05,"6,007.50",0.15
2014,TOYOTA,PRIUS,Hybrid,SEDAN,49,121,790438,17116,16131.39,46.18,-0.06,"42,790.00",0.05
2014,FORD,TRANSIT CONNECT,Non-Hybrid,VAN,21,11,55031,4850,2620.52,11.35,-0.46,"12,125.00",0.22
2015,TOYOTA,AVALON HYBRID,Hybrid,SEDAN,40,7,23883,569,597.08,41.97,0.05,"1,422.50",0.06
2015,FORD,EDGE,Non-Hybrid,SUV,20,61,89681,7241,4484.05,12.39,-0.38,"18,102.50",0.2
2015,FORD,ESCAPE,Non-Hybrid,SUV,21,116,689589,40809,32837.57,16.9,-0.2,"1,02,022.50",0.15
2015,FORD,EXPEDITION,Non-Hybrid,SUV,18,7,55549,3779,3086.06,14.7,-0.18,"9,447.50",0.17
2015,CHEVROLET,EXPRESS,Non-Hybrid,VAN,10,22,127322,13800,12732.2,9.23,-0.08,"34,500.00",0.27
2015,FORD,F150,Non-Hybrid,PICKUP,19,25,78506,7474,4131.89,10.5,-0.45,"18,685.00",0.24
2015,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,27,36,165019,6432,6111.81,25.66,-0.05,"16,080.00",0.1
2015,TOYOTA,PRIUS,Non-Hybrid,SEDAN,48,327,2144639,44874,44679.98,47.79,0,"1,12,185.00",0.05
2015,CHEVROLET,SILVERADO,Non-Hybrid,PICKUP,16,7,9434,1764,589.63,5.35,-0.67,"4,410.00",0.47
2015,FORD,TAURUS,Non-Hybrid,SEDAN,17,12,19469,1453,1145.24,13.4,-0.21,"3,632.50",0.19
2015,FORD,TRANSIT CONNECT,Non-Hybrid,VAN,22,52,19215,1981,873.41,9.7,-0.56,"4,952.50",0.26
2015,GMC,YUKON,Non-Hybrid,SUV,15,9,10417,1064,694.47,9.79,-0.35,"2,660.00",0.26
2015,GMC,YUKON XL,Non-Hybrid,SUV,15,84,25690,2179,1712.67,11.79,-0.21,"5,447.50",0.21
2016,TOYOTA,CAMRY HYBRID,Hybrid,SEDAN,41,49,241639,6747,5893.63,35.81,-0.13,"16,867.50",0.07
2016,FORD,EDGE,Non-Hybrid,SUV,18,22,13749,1196,763.83,11.5,-0.36,"2,990.00",0.22
2016,CHEVROLET,EQUINOX,Non-Hybrid,SUV,16,34,146106,10576,9131.63,13.81,-0.14,"26,440.00",0.18
2016,FORD,EXPLORER,Non-Hybrid,SUV,16,22,169166,18379,10572.88,9.2,-0.42,"45,947.50",0.27
2016,CHEVROLET,EXPRESS,Non-Hybrid,VAN,11,67,278220,33239,25292.73,8.37,-0.24,"83,097.50",0.3
2016,FORD,F150,Non-Hybrid,PICKUP,17,70,352592,37794,20740.71,9.33,-0.45,"94,485.00",0.27
2016,DODGE,GRAND CARAVAN,Non-Hybrid,VAN,20,20,32180,1689,1609,19.05,-0.05,"4,222.50",0.13
2016,TOYOTA,HIGHLANDER HYBRID,Hybrid,SUV,28,31,134807,5214,4814.54,25.85,-0.08,"13,035.00",0.1
2016,TOYOTA,PRIUS,Hybrid,SEDAN,55,243,1224245,22430,22259,54.58,-0.01,"56,075.00",0.05
2016,TOYOTA,RAV4 HYBRID,Hybrid,SUV,34,89,480559,12880,14134.09,37.31,0.1,"32,200.00",0.07
2016,FORD,TAURUS,Non-Hybrid,SEDAN,20,23,242804,12230,12140.2,19.85,-0.01,"30,575.00",0.13
2017,DODGE,CHARGER,Non-Hybrid,SEDAN,15,15,9113,1061,607.53,8.59,-0.43,"2,652.50",0.29
2017,FORD,EXPLORER,Non-Hybrid,SUV,19,21,169156,16900,8902.95,10.01,-0.47,"42,250.00",0.25
2017,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,48,206772,25457,15905.54,8.12,-0.38,"63,642.50",0.31
2017,FORD,F150,Non-Hybrid,PICKUP,16,29,212823,21171,13301.44,10.05,-0.37,"52,927.50",0.25
2017,FORD,F250,Non-Hybrid,PICKUP,12,9,149618,22596,12468.17,6.62,-0.45,"56,490.00",0.38
2017,DODGE,GRAND CARAVAN,Non-Hybrid,VAN,25,13,34018,786,1360.72,43.28,0.73,"1,965.00",0.06
2017,TOYOTA,RAV4 HYBRID,Hybrid,SUV,34,115,545830,16192,16053.82,33.71,-0.01,"40,480.00",0.07
2017,CHEVROLET,SILVERADO,Non-Hybrid,PICKUP,26,9,197267,20113,7587.19,9.81,-0.62,"50,282.50",0.25
2017,FORD,TAURUS,Non-Hybrid,SEDAN,17,7,193575,12339,11386.76,15.69,-0.08,"30,847.50",0.16
2017,FORD,TRANSIT CONNECT,Non-Hybrid,VAN,15,32,164551,13315,10970.07,12.36,-0.18,"33,287.50",0.2
2017,FORD,TRANSIT VAN,Non-Hybrid,VAN,20,189,112590,9827,5629.5,11.46,-0.43,"24,567.50",0.22
2018,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,56,177198,17233,13630.62,10.28,-0.21,"43,082.50",0.24
2018,FORD,F150,Non-Hybrid,PICKUP,16,19,121436,8983,7589.75,13.52,-0.16,"22,457.50",0.18
2018,FORD,FUSION HYBRID,Hybrid,SEDAN,43,5,11207,289,260.63,38.78,-0.1,722.5,0.06
2018,TOYOTA,RAV4 HYBRID,Hybrid,SUV,34,82,474394,10956,13952.76,43.3,0.27,"27,390.00",0.06
2018,CHEVROLET,SUBURBAN,Non-Hybrid,SUV,16,10,131922,7877,8245.13,16.75,0.05,"19,692.50",0.15
2018,CHEVROLET,TAHOE HYBRID,Non-Hybrid,SUV,16,10,205588,14697,12849.25,13.99,-0.13,"36,742.50",0.18
2018,FORD,TAURUS NGPI,Non-Hybrid,SEDAN,17,7,144627,7453,8507.47,19.41,0.14,"18,632.50",0.13
2018,FORD,TRANSIT VAN,Non-Hybrid,VAN,14,16,119367,9212,8526.21,12.96,-0.07,"23,030.00",0.19
2019,CHEVROLET,EXPRESS,Non-Hybrid,VAN,13,22,10316,885,793.54,11.66,-0.1,"2,212.50",0.21
2019,FORD,F150,Non-Hybrid,PICKUP,16,27,56410,5419,3525.63,10.41,-0.35,"13,547.50",0.24
2019,FORD,F250,Non-Hybrid,PICKUP,12,30,84521,5449,7043.42,15.51,0.29,"13,622.50",0.16
2019,FREIGHTLINER,SPRINTER 3500,Non-Hybrid,VAN,15,38,3277,296,218.47,11.07,-0.26,740,0.23
2019,FORD,TRANSIT VAN,Non-Hybrid,VAN,20,7,29068,2331,1453.4,12.47,-0.38,"5,827.50",0.2
